n_bars,oos_start,oos_end,n_folds,n_traded,n_not_cointegrated,n_not_hedged,n_half_life,n_trades,win_rate,n_zscore_stops,n_loss_stops,n_time_stops,total_return,sharpe,psr,p_value,max_drawdown,time_in_market,median_net_exposure,median_spread_volatility,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,sharpe_frictionless,total_return_frictionless,mean_gross_pnl_bps,mean_cost_bps,pair,family,discovery
3774,2012-01-03,2024-12-31,26,1,18,7,0,3,1.0,0,0,1,0.01049218025543519,0.1474120490623489,0.7028363984136716,0.2971636015863284,-0.019643305281894508,0.01743119266055046,0.4516290210597458,0.14152365899914954,0.17746492785932713,0.1474120490623489,0.11740008332949628,0.058147863612782826,0.18407125038802374,0.0131134511433868,61.59776784727141,12.267925088484418,GDX/GLD,precious_metals,False
3774,2012-01-03,2024-12-31,26,1,18,7,0,3,1.0,0,0,1,0.010221905911279361,0.14212780703871353,0.6964350271502194,0.30356497284978057,-0.0197008740376875,0.01743119266055046,0.454624221210866,0.14191554501015913,0.17175164990469005,0.14212780703871353,0.11255809409718197,0.05420083638069077,0.17824380222315728,0.012833833217931634,60.45140644070035,12.260418492958447,GDX/IAU,precious_metals,False
3774,2012-01-03,2024-12-31,26,0,20,6,0,0,,0,0,0,0.0,,,,0.0,0.0,0.6284130418985105,,,,,,,0.0,,,GDXJ/GLD,precious_metals,False
3774,2012-01-03,2024-12-31,26,0,20,6,0,0,,0,0,0,0.0,,,,0.0,0.0,0.6335779828440825,,,,,,,0.0,,,GDXJ/IAU,precious_metals,False
3774,2012-01-03,2024-12-31,26,24,2,0,0,119,0.01680672268907563,1,0,0,-0.11035664324925176,-2.7984531653454594,5.2726399986969314e-33,1.0,-0.11035664324925176,0.11253822629969419,0.0035218231967417135,0.0057320633168654895,0.08650998942083031,-2.7984531653454594,-3.6402550659401283,-4.092715635764668,0.22237083170521882,0.005958880928290444,0.5299428314014447,10.319731431959093,GLD/IAU,precious_metals,False
3774,2012-01-03,2024-12-31,26,0,26,0,0,0,,0,0,0,0.0,,,,0.0,0.0,0.2821085093759727,,,,,,,0.0,,,IAI/KBE,us_banks,False
3774,2012-01-03,2024-12-31,26,0,26,0,0,0,,0,0,0,0.0,,,,0.0,0.0,0.3533871591613562,,,,,,,0.0,,,IAI/KRE,us_banks,False
3774,2012-01-03,2024-12-31,26,3,23,0,0,6,0.3333333333333333,0,0,3,-0.020230331619687236,-0.14544163802930923,0.2994949254714383,0.7005050745285617,-0.03409327254453176,0.04709480122324159,0.19271672129911022,0.047528237130437016,-0.10195322200611023,-0.14544163802930923,-0.1883936010811079,-0.27170980729701955,-0.09081109832129412,-0.012912997188645803,-21.800227359398612,12.365998157620634,IAI/XLF,us_banks,False
3774,2012-01-03,2024-12-31,26,3,23,0,0,5,0.4,0,0,3,-0.00909244942054166,-0.16253162603200347,0.28477581469333024,0.7152241853066698,-0.02015404550294375,0.04342507645259939,0.10959564112099299,0.021217390272845738,-0.07041698077693609,-0.16253162603200347,-0.250226599149508,-0.4041205104556965,-0.04443562695912542,-0.0025531237978186905,-5.108377101122826,13.141639998196718,KBE/KRE,us_banks,False
3774,2012-01-03,2024-12-31,26,0,26,0,0,0,,0,0,0,0.0,,,,0.0,0.0,0.19155798129315077,,,,,,,0.0,,,KBE/XLF,us_banks,False
3774,2012-01-03,2024-12-31,26,0,26,0,0,0,,0,0,0,0.0,,,,0.0,0.0,0.31197905647304813,,,,,,,0.0,,,KRE/XLF,us_banks,False
3774,2012-01-03,2024-12-31,26,8,18,0,0,25,0.4,1,0,3,0.007408276211284148,0.12369495530380172,0.6734939326957793,0.3265060673042207,-0.015287201049509536,0.11712538226299694,0.026507832259115516,0.012285444169114685,0.5484985674907128,0.12369495530380172,-0.2709122356544679,-0.8635629214004834,0.612009449828074,0.03691093439745741,14.798378396699153,11.555868312984154,IYE/XLE,energy,False
3774,2012-01-03,2024-12-31,26,6,18,2,0,15,0.8666666666666667,0,0,1,0.08286272361420988,0.33134940686299946,0.8832569837479711,0.11674301625202888,-0.05920356792015036,0.07400611620795107,0.24098803772704902,0.10222370968029273,0.38705263239470494,0.33134940686299946,0.2752765624457953,0.16293059179018737,0.39663457049925294,0.10047205593440722,69.62265243426211,11.898192959177035,IYE/XOP,energy,False
3774,2012-01-03,2024-12-31,26,6,17,3,0,14,0.6428571428571429,0,0,3,-0.013987745229058213,-0.03880176490130838,0.44440111213746514,0.5555988878625349,-0.09203080767319749,0.08776758409785933,0.1991950411294985,0.07739702717927474,0.008366631412510112,-0.03880176490130838,-0.08575547245947593,-0.17845984060010966,0.018751706519420458,0.0022223598218056306,1.6554045688732915,12.427100927748764,XLE/XOP,energy,False
